inv	Label	Issue	Material	Denomination	Weight	Die-Axis	Obverse-legend	Obverse-type	Obverse-symbols	Reverse-legend	Reverse-type	Reverse-symbols	Mint	Findspot	Date	Condition
WAM.2001.248	Denarius of Galba with a Laurel Crown	ric.1(2).gal.211	silver	denarius			IMP(erator) S<ER>(vivs) GALBA CAESAR A<VG>(vstvs)	Head of Galba, laureate, right		SA<LVS GEN> [H]VMANI	Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left		Rome		c. July 68 CE to January 69 CE	Worn
WAM.1997.25	Aureus of Nero	ric.1(2).ner.63	gold	auerus			IMP(erator) N<ER>O <CA>[E]SAR AUGUSTUS	Head of Nero, laureate, right, with beard		[I]UPATER CUSTOS	Jupiter, bare to waist, cloak round lower limbs, seated, left on throne, holding thunderbolt in right hand and long sceptre in left		Rome		66 CE to 67 CE
WAM 2001.238	Denarius of Augustus	ric.1(2).aug.257	silver	denarius	3.9	3		Head of Octavian, bare, right		<C>AESR DIVI F(ilius)	Naked male figure seated right on cloak on rock, holding lyre, petasus behind		Italy		2 BCE to 29 BCE
WAM 2001.239
WAM 2001.255	Denarius of Augustus	ric.1(2).aug.250a	silver	denarius				Bare head facing right		<C>AESAR DIVI F(ilius)	Female figure, bare to waist, back turned, legs draped, holding helmet in right hand, holding staff in left, leaning on column with round shield leaning on it
WAM 2001.258
WAM 2001.281	Denarius		silver	denarius
WAM 2001.282	Denarius		silver	denarius
WAM 2001.283	Denarius		silver	denarius
WAM 2001.284	Denarius		silver	denarius
WAM 2001.285			silver	denarius
WAM 2001.288		ric.1(2).aug.207	silver	denarius
WAM.2001.224	Denarius of Vespasian	ric.2_1(2).ves.847	silver	denarius				Head of Vespasian, laureate, right			 Eagle with wings spread, standing front on low garlanded base, head left, holding thunderbolt in claws		Rome		76
WAM.2001.241	As of Domitian	ric.2_1(2).dom.547	aes	as				Head of Domitian, laureate, right			Moneta standing left, holding scales in right hand and cornucopiae in left		Rome
WAM.2001.242	As of Domitian	ric.2_1(2).dom.756	aes	as				Head of Domitian, laureate, right			Moneta standing left, holding scales in right hand and cornucopiae in left		Rome
WAM.2001.248	Denarius of Galba	ric.1(2).gal.211	silver	denarius			IMP(erator)S<ER>(vivs) GALBA CAESAR A<VG>(vstvs)	Head of Galba, laureate, right		SA<LVS GEN> [H]VMANI	Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left		Rome		c.68-6:69-1	worn
WAM.2001.249
WAM.2001.259	Denarius of Vespasian	ric.2_1(2).ves.46	silver	denarius				Head of Vespasian, laureate, right			Vesta, draped, seated left, holding simpulum in extended right hand, left hand at side		Rome
WAM.2001.260	Denarius of Vespasian	ric.2_1(2).ves.360	silver	denarius				Head of Vespasian, laureate, right			Vesta, veiled, draped, standing left, holding simpulum in extended right hand and vertical sceptre in left		Rome		72:73
WAM.2001.289	Denarius of Vespasian	ric.2_1(2).ves.43	silver	denarius				Head of Vespasian, laureate, right			Simpulum, sprinkler, jug and lituus		Rome		71
WAM.2001.290	Denarius of Vespasian	ric.2_1(2).ves.702	silver	denarius				Head of Vespasian, laureate, right			Vespasian, togate, seated right on curule chair, feet on stool, holding vertical sceptre in right hand and branch in extended left		Rome		74
WAM.2001.239		ric.1(2).cl.100	aes	as	11.5	6 o'clock	TI(berivs) CLAVDIVS CAESAR AVG(vstvs) PM <T>R P IM[P](erator)	Head of Claudius, bare, left		S C	Minerva, helmeted and draped, advancing right, levelling javelin in right hand and shield in left		Rome		AD 41 - AD 50
WAM.2001.212		ric.4.crl.116	silver	denarius			ANTONINVS PIVS AVG	Head of Caracalla, laureate, bearded, right		PONTIF <T><R>P XIII COS III	Concordia, draped, seated left, holding patera in extended right hand and double cornucopiae in left hand		Rome		AD 210
WAM.2001.228
WAM.2001.229
WAM.2001.240
WAM.2001.245
WAM.2001.246
WAM.2001.251
2001.213		ric.4.crl.363A	silver	denarius			PLAUTILLA AUGUSTA	Bust of Plautilla, hair coiled in ridges, fastened in bun at back, draped, right		CONCORDIA AVGG(usta)	Concordia, draped, standing left, holding patera in extended right hand and sceptre in left hand		Rome
2001.219		ric.4.sa.343	silver	denarius			IVLIA MAMAEA AVG	Bust of Julia Mamaea, draped, right		IVNO CONSERVATRIX	Juno, diademed, veiled, draped, standing left, holding patera in right hand and sceptre in left hand; at feet, peacock		Rome
2001.252		ric.4.mcs.86
2001.257		ric.4.crl.369
2001.261
2001.262
2001.263
2001.279
