OCRE,Side,Legend
ric.2.tr.490,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.490,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.491,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.491,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.492_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.492_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.492_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.492_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.493,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.493,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.494,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.494,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.495,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.495,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.496,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.496,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.497_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.497_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.497_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.497_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.498,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.498,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.499,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.499,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.500_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.500_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.500_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.500_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.501,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.501,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.502,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.502,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.503_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.503_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.503_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.503_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.504,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.504,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.505,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.505,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.506_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.506_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.506_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.506_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.507,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.507,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.508,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.508,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.509,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.509,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.510_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.510_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.510_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.510_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.511,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.511,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.512,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.512,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.513,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.513,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.514,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.514,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.515_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.515_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.515_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.515_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.516,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.516,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.517,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.517,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.518,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.518,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.519_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.519_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.519_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.519_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.520,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.520,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.521,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.521,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.522,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.522,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.523,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.523,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.524,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.524,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.525,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.525,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.526,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.526,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.527,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.527,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.528,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.528,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.529,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.529,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.530,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.530,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.531,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.531,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.532,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.532,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.533,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.533,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.534,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.534,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.535,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.535,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.536_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.536_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.536_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.536_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.537,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.537,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.538,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.538,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.539,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.539,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.540,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.540,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.541,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.541,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.542,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.542,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.543_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.543_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.543_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.543_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.544,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.544,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.545,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.545,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.546,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.546,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.547,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.547,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.548,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.548,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.549_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.549_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.549_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.549_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.550,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.550,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.551,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.551,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.551A,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.551A,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.552,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.552,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.553,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.553,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.554,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.554,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.555,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.555,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.556,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.556,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.557,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.557,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.558,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.558,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.559,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.559,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.560,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.560,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.561,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.561,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.562,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.562,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.563,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.563,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.564,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.564,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.565,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.565,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.566,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.566,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.567,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.567,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.568,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.568,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.569_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.569_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.569_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.569_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.570,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.570,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.571,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.571,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.572,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.572,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.573,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.573,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.574,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.574,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.575_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.575_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.575_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.575_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.576,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.576,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.577_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.577_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.577_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.577_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.3.ant.1172_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1172_dupondius,reverse,AVGVSTA S C
ric.3.ant.1172_as,obverse,DIVA FAVSTINA
ric.3.ant.1172_as,reverse,AVGVSTA S C
ric.3.ant.1173a_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1173a_dupondius,reverse,AVGVSTA S C
ric.3.ant.1173a_as,obverse,DIVA FAVSTINA
ric.3.ant.1173a_as,reverse,AVGVSTA S C
ric.3.ant.1173b_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1173b_dupondius,reverse,AVGVSTA S C
ric.3.ant.1173b_as,obverse,DIVA FAVSTINA
ric.3.ant.1173b_as,reverse,AVGVSTA S C
ric.3.ant.1173d_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1173d_dupondius,reverse,AVGVSTA S C
ric.3.ant.1173d_as,obverse,DIVA FAVSTINA
ric.3.ant.1173d_as,reverse,AVGVSTA S C
ric.3.ant.1174_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1174_dupondius,reverse,AVGVSTA S C
ric.3.ant.1174_as,obverse,DIVA FAVSTINA
ric.3.ant.1174_as,reverse,AVGVSTA S C
ric.3.ant.1175_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1175_dupondius,reverse,AVGVSTA S C
ric.3.ant.1175_as,obverse,DIVA FAVSTINA
ric.3.ant.1175_as,reverse,AVGVSTA S C
ric.3.ant.1176_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1176_dupondius,reverse,AVGVSTA S C
ric.3.ant.1176_as,obverse,DIVA FAVSTINA
ric.3.ant.1176_as,reverse,AVGVSTA S C
ric.3.ant.1177_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1177_dupondius,reverse,AVGVSTA S C
ric.3.ant.1177_as,obverse,DIVA FAVSTINA
ric.3.ant.1177_as,reverse,AVGVSTA S C
ric.3.ant.1177A_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1177A_dupondius,reverse,AVGVSTA S C
ric.3.ant.1177A_as,obverse,DIVA FAVSTINA
ric.3.ant.1177A_as,reverse,AVGVSTA S C
ric.3.ant.1178_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1178_dupondius,reverse,AVGVSTA S C
ric.3.ant.1178_as,obverse,DIVA FAVSTINA
ric.3.ant.1178_as,reverse,AVGVSTA S C
ric.3.ant.1179_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1179_dupondius,reverse,AVGVSTA S C
ric.3.ant.1179_as,obverse,DIVA FAVSTINA
ric.3.ant.1179_as,reverse,AVGVSTA S C
ric.3.ant.1180_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1180_dupondius,reverse,AVGVSTA S C
ric.3.ant.1180_as,obverse,DIVA FAVSTINA
ric.3.ant.1180_as,reverse,AVGVSTA S C
ric.3.ant.1181_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1181_dupondius,reverse,AVGVSTA S C
ric.3.ant.1181_as,obverse,DIVA FAVSTINA
ric.3.ant.1181_as,reverse,AVGVSTA S C
ric.3.ant.1182_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1182_dupondius,reverse,AVGVSTA S C
ric.3.ant.1182_as,obverse,DIVA FAVSTINA
ric.3.ant.1182_as,reverse,AVGVSTA S C
ric.3.ant.1183_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1183_dupondius,reverse,AVGVSTA S C
ric.3.ant.1183_as,obverse,DIVA FAVSTINA
ric.3.ant.1183_as,reverse,AVGVSTA S C
ric.3.ant.1184_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1184_dupondius,reverse,AVGVSTA S C
ric.3.ant.1184_as,obverse,DIVA FAVSTINA
ric.3.ant.1184_as,reverse,AVGVSTA S C
ric.3.ant.1185_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1185_dupondius,reverse,CERES S C
ric.3.ant.1185_as,obverse,DIVA FAVSTINA
ric.3.ant.1185_as,reverse,CERES S C
ric.3.ant.1186_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1186_dupondius,reverse,CERES S C
ric.3.ant.1186_as,obverse,DIVA FAVSTINA
ric.3.ant.1186_as,reverse,CERES S C
ric.3.ant.1187a_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1187a_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1187a_as,obverse,DIVA FAVSTINA
ric.3.ant.1187a_as,reverse,CONSECRATIO S C
ric.3.ant.1187b_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1187b_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1187b_as,obverse,DIVA FAVSTINA
ric.3.ant.1187b_as,reverse,CONSECRATIO S C
ric.3.ant.1188a_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1188a_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1188b_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1188b_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1188b_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1188b_as,reverse,CONSECRATIO S C
ric.3.ant.1189_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1189_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1189_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1189_as,reverse,CONSECRATIO S C
ric.2.tr.601,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.601,reverse,S P Q R OPTIMO PRINCIPI S C
ric.3.ant.1190_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1190_dupondius,reverse,IVNO S C
ric.3.ant.1190_as,obverse,DIVA FAVSTINA
ric.3.ant.1190_as,reverse,IVNO S C
ric.3.ant.1191Aa_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Aa_dupondius,reverse,PIET AVG S C
ric.3.ant.1191Aa_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Aa_as,reverse,PIET AVG S C
ric.3.ant.1191Ab_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Ab_dupondius,reverse,PIET AVG S C
ric.3.ant.1191Ab_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Ab_as,reverse,PIET AVG S C
ric.3.ant.1191B_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1191B_dupondius,reverse,PIET AVG S C
ric.3.ant.1191B_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1191B_as,reverse,PIET AVG S C
ric.3.ant.1192Aa_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Aa_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1192Aa_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Aa_as,reverse,PIETAS AVG S C
ric.2.tr.605,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.605,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.3.ant.1192Ab_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Ab_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1192Ab_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Ab_as,reverse,PIETAS AVG S C
ric.3.ant.1192b_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1192b_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1192b_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1192b_as,reverse,PIETAS AVG S C
ric.3.ant.1193A_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193A_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1193A_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193A_as,reverse,PIETAS AVG S C
ric.3.ant.1193B_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193B_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1193B_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193B_as,reverse,PIETAS AVG S C
ric.3.ant.1194_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1194_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1194_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1194_as,reverse,PIETAS AVG S C
ric.3.ant.1195_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1195_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1195_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1195_as,reverse,PIETAS AVG S C
ric.2.tr.608_as,obverse,IMP NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.608_as,reverse,S P Q R OPTIMO PRINCIPI S C AQVA TRAIANA
ric.3.ant.1196_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1196_dupondius,reverse,S C
ric.3.ant.1196_as,obverse,DIVA FAVSTINA
ric.3.ant.1196_as,reverse,S C
ric.3.ant.1197_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1197_dupondius,reverse,S C
ric.3.ant.1197_as,obverse,DIVA FAVSTINA
ric.3.ant.1197_as,reverse,S C
ric.3.ant.1198a_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1198a_dupondius,reverse,S C
ric.3.ant.1198a_as,obverse,DIVA FAVSTINA
ric.3.ant.1198a_as,reverse,S C
ric.3.ant.1198b_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1198b_dupondius,reverse,S C
ric.3.ant.1198b_as,obverse,DIVA FAVSTINA
ric.3.ant.1198b_as,reverse,S C
ric.3.ant.1199a_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1199a_dupondius,reverse,S C
ric.3.ant.1199a_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1199a_as,reverse,S C
