OCRE,Side,Legend
ric.2.tr.347_denarius,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.347_denarius,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.348_aureus,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.348_aureus,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.348_denarius,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.348_denarius,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.349,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.349,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.350,obverse,IMP CAES NER TRAIANO OPTIM AVG GER DAC PARTHICO
ric.2.tr.350,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.351_quinarius_aureus,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.351_quinarius_aureus,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.351_quinarius,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.351_quinarius,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.352,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.352,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.353,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.353,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.354,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.354,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.355,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.355,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.356,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.356,reverse,P M TR P COS VI P P S P Q R
ric.2.tr.357,obverse,IMP CAES NER TRAIAN OPTIMO AVG GERM DAC
ric.2.tr.357,reverse,PARTHICO P M TR P COS VI P P S P Q R PRO AVG
ric.2.tr.358_aureus,obverse,IMP CAES NER TRAIAN OPTIMO AVG GER DAC
ric.2.tr.358_aureus,reverse,P M TR P COS VI P P S P Q R PRO AVG
ric.2.tr.358_denarius,obverse,IMP CAES NER TRAIAN OPTIMO AVG GER DAC
ric.2.tr.358_denarius,reverse,P M TR P COS VI P P S P Q R PRO AVG
ric.2.tr.359,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.359,reverse,P M TR P COS VI P P S P Q R PRO AVG
ric.2.tr.360,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.360,reverse,P M TR P COS VI P P S P Q R PRO AVG
ric.2.tr.361,obverse,IMP CAES NER TRAIAN OPTIM AVG GERM DAC
ric.2.tr.361,reverse,PARTHICO P M TR P COS VI P P S P Q R PRO VID
ric.2.tr.362,obverse,IMP CAES NER TRAIAN OPTIMO AVG GERM DAC
ric.2.tr.362,reverse,PARTHICO P M TR P COS VI P P S P Q R PROVID
ric.2.tr.363,obverse,IMP CAES NER TRAIAN OPTIMO AVG GERM DAC
ric.2.tr.363,reverse,PARTHICO P M TR P COS VI P P S P Q R PROVID
ric.2.tr.364,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.364,reverse,P M TR P COS VI P P S P Q R PROVID
ric.2.tr.365_aureus,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.365_aureus,reverse,P M TR P COS VI P P S P Q R PROVID
ric.2.tr.365_denarius,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.365_denarius,reverse,P M TR P COS VI P P S P Q R PROVID
ric.2.tr.366,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.366,reverse,REGNA ADSIGNATA
ric.2.tr.367,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.367,reverse,REGNA ADSIGNATA
ric.2.tr.368,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.368,reverse,P M TR P COS VI P P S P Q R SALVS AVG
ric.2.tr.369,obverse,IMP CAES NER TRAIAN OPTIM AVG GERM DAC
ric.2.tr.369,reverse,PARTHICO P M TR P COS VI P P S P Q R SALVS AVG
ric.2.tr.370,obverse,IMP CAES NER TRAIAN OPTIM AVG GERM DAC
ric.2.tr.370,reverse,PARTHICO P M TR P COS VI P P S P Q R SALVS AVG
ric.2.tr.371,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.371,reverse,P M TR P COS VI P P S P Q R VOTA SVSCEPTA
ric.2.tr.372_aureus,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.372_aureus,reverse,P M TR P COS VI P P S P Q R VOTA SVSCEPTA
ric.2.tr.372_denarius,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.372_denarius,reverse,P M TR P COS VI P P S P Q R VOTA SVSCEPTA
ric.2.tr.373,obverse,IMP CAES NER TRAIAN OPTIM AVG GER DAC PARTHICO
ric.2.tr.373,reverse,P M TR P COS VI P P S P Q R VOTA SVSCEPTA
ric.2.tr.374,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC
ric.2.tr.374,reverse,P M TR P COS VI P P S P Q R VOTA SVSCEPTA
ric.2.tr.375,obverse,IMP TRAI GER DAC M P
ric.2.tr.375,reverse,P M TR P VI AVG IMP
ric.2.tr.376,obverse,IMP TRAIANO AVG GER DAC P M TR
ric.2.tr.376,reverse,P M TR P COS DES II
ric.2.tr.377,obverse,IMP TRAIANO AVG GER DAC P M TR P
ric.2.tr.377,reverse,S P Q R OPTIMO PRINCIPI
ric.2.tr.378,obverse,IMP TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.378,reverse,COS V P P S P Q R OPTIMO PRINCIPI
ric.2.tr.379,obverse,FORVM TRAIAN
ric.2.tr.379,reverse,S P Q R OPTIMO PRINCIPI
ric.2.tr.380,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.380,reverse,COS II P P CONG P R S C
ric.2.tr.381,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.381,reverse,COS II P P CONG P R S C
ric.2.tr.382,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.382,reverse,TR P COS II P P S C
ric.2.tr.383,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.383,reverse,TR P COS II P P S C
ric.2.tr.384,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.384,reverse,TR P COS II P P S C
ric.2.tr.385,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.385,reverse,TR POT COS II S C
ric.2.tr.386,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.386,reverse,TR POT COS II S C
ric.2.tr.387,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.387,reverse,TR POT COS II S C
ric.2.tr.388,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.388,reverse,TR POT COS II S C
ric.2.tr.389,obverse,IMP CAES NERVA TRAIAN AVG GERM
ric.2.tr.389,reverse,TR POT COS II S C
ric.2.tr.390,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.390,reverse,TR POT COS II S C
ric.2.tr.391,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.391,reverse,TR POT COS II S C
ric.2.tr.392,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.392,reverse,TR POT COS II S C
ric.2.tr.393,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.393,reverse,TR POT COS II S C
ric.2.tr.394,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.394,reverse,TR POTCOS II
ric.2.tr.395,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.395,reverse,TR POT COS II S C
ric.2.tr.396,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.396,reverse,TR POT COS II P P S C
ric.2.tr.397,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.397,reverse,TR POT COS II P P
ric.2.tr.398,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.398,reverse,TR POT COS II P P S C
ric.2.tr.399,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.399,reverse,TR POT COS II P P S C
ric.2.tr.400,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.400,reverse,TR POT COS II P P S C
ric.2.tr.401,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.401,reverse,TR POT COS II P P S C
ric.2.tr.402,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.402,reverse,TR POT COS II P P S C
ric.2.hdn.1015,reverse,METAL DELM
ric.2.tr.403,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.403,reverse,TR POT COS II P P S C
ric.2.tr.404,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.404,reverse,TR POT COS II P P S C
ric.2.tr.405,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.405,reverse,S C
ric.2.tr.406,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.406,reverse,COS II DES III P P S C
ric.2.tr.407,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.407,reverse,COS II DES III P P S C
ric.2.tr.408,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.408,reverse,COS II DES III P P S C
